gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
RPL3	0.377359878575177	0.336216664805345	0.356788271690261	0.00585985048694578	0.0581915708078643	TRUE	G5E9G0|G5E9G0_HUMAN	14	FALSE	22	39708887	39716394
ICAM1	0.315673506404234	0.393299668109364	0.354486587256799	0.00665063720016606	0.0608223633320426	TRUE	sp|P05362|ICAM1_HUMAN	2	FALSE	19	10381511	10397291
TGM2	0.379288661584905	0.316795621153595	0.34804214136925	0.00678299181540925	0.0608223633320426	TRUE	sp|P21980|TGM2_HUMAN	9	FALSE	20	36756863	36794980
SMTN	0.236103028897144	0.458890774738308	0.347496901817726	0.0154928328443087	0.0807383054611993	TRUE	sp|P53814|SMTN_HUMAN	4	FALSE	22	31460091	31500743
PRPF31	0.381955244802132	0.308158453364026	0.345056849083079	0.00725943982586292	0.0612407005598235	TRUE	sp|Q8WWY3|PRP31_HUMAN	9	FALSE	19	54618837	54635140
LOXL2	0.189951286694967	0.498757207014584	0.344354246854775	0.026998822390188	0.0992541991024589	TRUE	sp|Q9Y4K0|LOXL2_HUMAN	11	FALSE	8	23154702	23282841
TPM2	0.193561327694269	0.494168050761782	0.343864689228025	0.0258426138644702	0.0962848619352624	TRUE	sp|P07951-2|TPM2_HUMAN	4	FALSE	9	35681989	35691017
RPL36	-0.0310998619439644	0.711716944199573	0.340308541127804	0.159156181723415	0.280770125553392	FALSE	sp|Q9Y3U8|RL36_HUMAN	3	FALSE	19	5674958	5691887
SNRPD2	0.326381138462523	0.35049329052238	0.338437214492451	0.00695651442946844	0.0608223633320426	TRUE	sp|P62316|SMD2_HUMAN	5	FALSE	19	46190712	46195827
RPS24	0.377444762706045	0.297045124921588	0.337244943813816	0.00808849090829216	0.0637189518472952	TRUE	sp|P62847-2|RS24_HUMAN	3	FALSE	10	79793518	79816570
MAP3K7	0.316581396502418	0.356497905112047	0.336539650807232	0.00728036300361538	0.0612407005598235	TRUE	sp|O43318-2|M3K7_HUMAN	24	FALSE	6	91223292	91296764
PCBP1	0.13188047839698	0.533122347998194	0.332501413197587	0.0497957590257341	0.141624607149377	FALSE	sp|Q15365|PCBP1_HUMAN	3	FALSE	2	70314585	70316332
SPTAN1	0.226429314283696	0.437680343976044	0.33205482912987	0.0169070010625802	0.0807383054611993	TRUE	sp|Q13813|SPTN1_HUMAN	140	FALSE	9	131314866	131395941
HSPA8	0.312212864105298	0.343143406875306	0.327678135490302	0.00791745311375507	0.0637189518472952	TRUE	sp|P11142|HSP7C_HUMAN	20	FALSE	11	122928197	122933938
TAB2	0.290406097700345	0.362778029744327	0.326592063722336	0.00885681829188864	0.0637786411025187	TRUE	sp|Q9NYJ8|TAB2_HUMAN	9	FALSE	6	149539777	149732749
RPL4	0.337415128285635	0.315136845450301	0.326275986867968	0.00795536339092801	0.0637189518472952	TRUE	sp|P36578|RL4_HUMAN	17	FALSE	15	66790355	66816870
EIF3E	0.42243920446494	0.22841625069448	0.32542772757971	0.0163509699064761	0.0807383054611993	TRUE	sp|P60228|EIF3E_HUMAN	2	FALSE	8	109213445	109447562
ATAD3A	0.301851808050106	0.345791827691841	0.323821817870973	0.00846615444124901	0.0637189518472952	TRUE	sp|Q9NVI7-2|ATD3A_HUMAN	10	FALSE	1	1447531	1470067
RPL21	0.342722038392999	0.301818998729335	0.322270518561167	0.00856492314274918	0.0637786411025187	TRUE	sp|P46778|RL21_HUMAN	9	FALSE	13	27825446	27830828
SPINDOC	0.362790005323557	0.279763065321205	0.321276535322381	0.00975887575365443	0.067743652076339	TRUE	sp|Q9BUA3|SPNDC_HUMAN	4	FALSE	11	63580860	63595190
RPS9	0.331547648784973	0.310946490634215	0.321247069709594	0.00841096992501174	0.0637189518472952	TRUE	sp|P46781|RS9_HUMAN	12	FALSE	19	54704610	54752862
TAB1	0.30613772538765	0.330356502918697	0.318247114153173	0.00874082056670202	0.0637786411025187	TRUE	sp|Q15750|TAB1_HUMAN	14	FALSE	22	39795746	39833065
ARHGEF26	0.220398756718172	0.414535511647895	0.317467134183033	0.0178243824325013	0.0822221512208931	TRUE	sp|Q96DR7|ARHGQ_HUMAN	1	FALSE	3	153838792	153975616
STK38L	0.347073867208252	0.287832984927459	0.317453426067855	0.00944814974836876	0.0662296771576829	TRUE	sp|Q9Y2H1|ST38L_HUMAN	18	FALSE	12	27396901	27478892
NCL	0.363512908005156	0.271254562128867	0.317383735067011	0.0105655881195372	0.0703887372106826	TRUE	sp|P19338|NUCL_HUMAN	10	FALSE	2	232318242	232348352
MTDH	0.365763311474989	0.267461744706342	0.316612528090665	0.0109230133077916	0.0716509588538626	TRUE	E5RJU9|E5RJU9_HUMAN	2	FALSE	8	98656407	98740998
RPS11	0.321663498360241	0.30950939875056	0.3155864485554	0.00892008966468793	0.0637786411025187	TRUE	sp|P62280|RS11_HUMAN	9	FALSE	19	49999622	50002946
KDELR2	0.339517153638514	0.283873801240599	0.311695477439556	0.0100049737685535	0.0687841946588051	TRUE	sp|P33947|ERD22_HUMAN	2	FALSE	7	6485584	6523873
IGF2R	0.402084502781172	0.20945643328459	0.305770468032881	0.0200861435853266	0.084479956844168	TRUE	sp|P11717|MPRI_HUMAN	3	FALSE	6	160390131	160534539
ARGLU1	0.302637312594616	0.3048518827209	0.303744597657758	0.0102223716529791	0.0689527899233967	TRUE	sp|Q9NWB6|ARGL1_HUMAN	10	FALSE	13	107194021	107220512
RRBP1	0.317614969080903	0.286999263026367	0.302307116053635	0.0106321449213339	0.0703887372106826	TRUE	sp|Q9P2E9|RRBP1_HUMAN	46	FALSE	20	17594323	17662940
CNP	0.100048690421254	0.502519244968134	0.301283967694694	0.0663336812408232	0.162823106689348	FALSE	sp|P09543-2|CN37_HUMAN	5	FALSE	17	40118759	40129749
TPM4	0.348039205358681	0.253526331390713	0.300782768374697	0.0129278233428778	0.0770282807513133	TRUE	sp|P67936|TPM4_HUMAN	4	FALSE	19	16177831	16213813
RPL13	0.201862352018431	0.398974619110856	0.300418485564643	0.0218781305413715	0.0888799053243218	TRUE	sp|P26373|RL13_HUMAN	12	FALSE	16	89627065	89630950
FBN1	0.320758154522885	0.276084813389069	0.298421483955977	0.0114182982947896	0.0735502998267976	TRUE	sp|P35555|FBN1_HUMAN	2	FALSE	15	48700503	48938046
H2BC12	0.413910515946284	0.178806117284612	0.296358316615448	0.0285216691464232	0.102580135438964	FALSE	sp|O60814|H2B1K_HUMAN	6	FALSE	6	27106072	27114637
SEC61B	0.373653934350934	0.210845847255051	0.292249890802992	0.0198178494969364	0.0838447478716539	TRUE	sp|P60468|SC61B_HUMAN	3	FALSE	9	101984346	101992897
RPL10	0.296135769268762	0.285515614421797	0.290825691845279	0.0119882232991443	0.075189295253405	TRUE	X1WI28|X1WI28_HUMAN	10	FALSE	X	153618315	153637504
CAPRIN2	0.330016352092038	0.250940345753747	0.290478348922892	0.0138205739639906	0.079053683074026	TRUE	sp|Q6IMN6-2|CAPR2_HUMAN	7	FALSE	12	30862486	30907885
CAV1	0.211841278867798	0.363829965677866	0.287835622272832	0.0197055745177671	0.0838447478716539	TRUE	sp|Q03135|CAV1_HUMAN	14	FALSE	7	116164839	116201233
RPL12	0.345237464734566	0.229430219372567	0.287333842053566	0.0166146620336722	0.0807383054611993	TRUE	sp|P30050|RL12_HUMAN	8	FALSE	9	130209953	130213684
RPL15	0.352337069843635	0.218792863253473	0.285564966548554	0.0184443857066579	0.0830271040010651	TRUE	sp|P61313|RL15_HUMAN	9	FALSE	3	23958036	23965183
EIF4B	0.292821110444468	0.278294986409442	0.285558048426955	0.0128262734035579	0.0770282807513133	TRUE	sp|P23588|IF4B_HUMAN	39	FALSE	12	53399942	53435993
THRAP3	0.332660669344403	0.237361626787006	0.285011148065704	0.0156775462907832	0.0807383054611993	TRUE	sp|Q9Y2W1|TR150_HUMAN	38	FALSE	1	36690017	36770958
CCT2	0.316277426238571	0.252285325562276	0.284281375900423	0.0142301102595132	0.0800746891710499	TRUE	F8VQ14|F8VQ14_HUMAN	2	FALSE	12	69979114	69995350
TCP1	0.298392694653948	0.265800132036759	0.282096413345354	0.0136601247181142	0.079053683074026	TRUE	sp|P17987|TCPA_HUMAN	5	FALSE	6	160199530	160210781
RPL7	0.310835421042157	0.251977174968804	0.28140629800548	0.0145447516814662	0.0800746891710499	TRUE	sp|P18124|RL7_HUMAN	14	FALSE	8	74202506	74208024
SCYL2	0.361860108319821	0.199436444003453	0.280648276161637	0.0226697583525354	0.0895518078567006	TRUE	sp|Q6P3W7|SCYL2_HUMAN	49	FALSE	12	100660918	100735502
DPP7	0.38152491592103	0.178447677659907	0.279986296790468	0.0285502754578375	0.102580135438964	FALSE	sp|Q9UHL4|DPP2_HUMAN	3	FALSE	9	140004994	140009629
RPS8	0.307957857468796	0.250608972537453	0.279283415003124	0.0148789057346391	0.0805940727292953	TRUE	sp|P62241|RS8_HUMAN	11	FALSE	1	45240923	45244451
BUB3	0.341128561264419	0.215196695303771	0.278162628284095	0.0194558995149957	0.0838447478716539	TRUE	sp|O43684-2|BUB3_HUMAN	3	FALSE	10	124913793	124924886
JAK1	0.257908930870343	0.297302896400694	0.277605913635518	0.0146175642923488	0.0800746891710499	TRUE	sp|P23458|JAK1_HUMAN	49	FALSE	1	65298912	65432187
SPIN1	0.266818787578234	0.288192603020423	0.277505695299329	0.0142746580999092	0.0800746891710499	TRUE	sp|Q9Y657|SPIN1_HUMAN	10	FALSE	9	91003334	91093609
RPL28	0.249568950814314	0.303552864150657	0.276560907482486	0.0152711846463405	0.0807383054611993	TRUE	sp|P46779|RL28_HUMAN	9	FALSE	19	55896713	55914612
ASPH	0.218013437593264	0.333192664005288	0.275603050799276	0.0191227699846659	0.0838447478716539	TRUE	sp|Q12797|ASPH_HUMAN	10	FALSE	8	62413116	62627155
EIF2S2	0.176625442252867	0.374236231679106	0.275430836965986	0.0292012552055071	0.103670153443016	FALSE	sp|P20042|IF2B_HUMAN	3	FALSE	20	32676104	32700138
GSTP1	-0.243387663862137	0.792995174363419	0.274803755250641	0.363904775256721	0.500621491826656	FALSE	A8MX94|A8MX94_HUMAN	2	FALSE	11	67351066	67354131
HNRNPH2	0.135975121625208	0.40792568255327	0.271950402089239	0.0458595271073275	0.134936468649132	FALSE	sp|P55795|HNRH2_HUMAN	2	FALSE	X	100663283	100669121
RPL24	0.300925727501909	0.241661910428498	0.271293818965203	0.0165451879113534	0.0807383054611993	TRUE	C9JNW5|C9JNW5_HUMAN	7	FALSE	3	101399935	101405626
HSPG2	0.466943633738193	0.0739660134959621	0.270454823617077	0.0847699190647211	0.190129108924668	FALSE	sp|P98160|PGBM_HUMAN	5	FALSE	1	22148738	22263790
LARP1	0.244702683454708	0.296000956751158	0.270351820102933	0.0164256948745443	0.0807383054611993	TRUE	sp|Q6PKG0|LARP1_HUMAN	8	FALSE	5	154092462	154197167
PHRF1	0.322838660810291	0.217039369669948	0.269939015240119	0.0197195404755874	0.0838447478716539	TRUE	A0A0J9YX88|A0A0J9YX88_HUMAN	3	FALSE	11	576486	612222
PPM1B	0.302905987402124	0.236267928224908	0.269586957813516	0.0172535574372438	0.0811598261028246	TRUE	sp|O75688|PPM1B_HUMAN	23	FALSE	2	44395108	44471523
COPG1	0.233725099475869	0.302107268763312	0.267916184119591	0.0177163676172369	0.0822221512208931	TRUE	sp|Q9Y678|COPG1_HUMAN	2	FALSE	3	128968449	128996614
WDR77	0.344803724577694	0.189038721732761	0.266921223155227	0.0258555153728257	0.0962848619352624	TRUE	sp|Q9BQA1|MEP50_HUMAN	25	FALSE	1	111982512	111991998
DNAJC13	0.127117145524178	0.406045232474405	0.266581188999291	0.0505027901294426	0.141625918747639	FALSE	sp|O75165|DJC13_HUMAN	3	FALSE	3	132136370	132257876
RPL19	0.220340708928472	0.312773191052894	0.266556949990683	0.0195314398053074	0.0838447478716539	TRUE	J3QR09|J3QR09_HUMAN	6	FALSE	17	37356536	37360980
DHX15	0.336278579529793	0.193133320346433	0.264705949938113	0.0249497015329523	0.0959087989035532	TRUE	sp|O43143|DHX15_HUMAN	12	FALSE	4	24519064	24586173
RPL35	0.256003906953637	0.272105255718905	0.264054581336271	0.0169025354123963	0.0807383054611993	TRUE	sp|P42766|RL35_HUMAN	3	FALSE	9	127620159	127624260
TMED9	0.347168322111109	0.177288102248276	0.262228212179692	0.0294620963482663	0.103670153443016	FALSE	sp|Q9BVK6|TMED9_HUMAN	2	FALSE	5	177019159	177023125
PPIA	0.233876796900763	0.289742007291704	0.261809402096233	0.018545936938564	0.0830271040010651	TRUE	sp|P62937|PPIA_HUMAN	6	FALSE	7	44836279	44864163
MAP7D1	0.343459842693026	0.167542864744149	0.255501353718587	0.0330351151344131	0.10687831367016	FALSE	sp|Q3KQU3-2|MA7D1_HUMAN	5	FALSE	1	36621180	36646450
HNRNPU	0.335868748248501	0.172124316423801	0.253996532336151	0.0316182013931113	0.104662101833679	FALSE	sp|Q00839|HNRPU_HUMAN	10	FALSE	1	245014468	245027844
SLC25A3	0.225931942864655	0.281930787310799	0.253931365087727	0.0205849370844641	0.08557110474065	TRUE	sp|Q00325-2|MPCP_HUMAN	3	FALSE	12	98987369	98995946
EPRS1	0.243917224678086	0.263110957588129	0.253514091133107	0.0194872411584072	0.0838447478716539	TRUE	sp|P07814|SYEP_HUMAN	12	FALSE	1	220141943	220220000
OTUD4	0.328138291580213	0.169400378674684	0.248769335127448	0.0329391202792804	0.10687831367016	FALSE	sp|Q01804|OTUD4_HUMAN	5	FALSE	4	146031990	146101313
RPL30	0.295685995564227	0.195333890429485	0.245509942996856	0.0264836716658499	0.0981130841506875	TRUE	sp|P62888|RL30_HUMAN	6	FALSE	8	99037079	99058697
CCT6A	0.258048453684186	0.223473212033579	0.240760832858882	0.023607048149632	0.0922351881256114	TRUE	sp|P40227-2|TCPZ_HUMAN	4	FALSE	7	56119323	56131682
RB1CC1	0.188012346326243	0.281609601762653	0.234810974044448	0.0298504025266776	0.103670153443016	FALSE	sp|Q8TDY2-2|RBCC1_HUMAN	20	FALSE	8	53535016	53658403
RPLP2	0.226736332235536	0.240182274142047	0.233459303188791	0.0255719546959583	0.0962848619352624	TRUE	sp|P05387|RLA2_HUMAN	2	FALSE	11	809647	812880
ALDOA	0.15953143880968	0.305371399390246	0.232451419099963	0.0382813696984687	0.118928736969201	FALSE	H3BQN4|H3BQN4_HUMAN	4	FALSE	16	30064411	30081778
RBM10	0.291591037296975	0.171097662196068	0.231344349746521	0.0347391291241142	0.110393232549963	FALSE	sp|P98175-5|RBM10_HUMAN	41	FALSE	X	47004268	47046212
RPS6	0.155793522645393	0.304794263652621	0.230293893149007	0.0399775101439815	0.123206550659253	FALSE	sp|P62753|RS6_HUMAN	10	FALSE	9	19375713	19380252
MAGED2	0.239360350616405	0.219444736849127	0.229402543732766	0.0272081440896251	0.0992541991024589	TRUE	sp|Q9UNF1|MAGD2_HUMAN	9	FALSE	X	54834032	54842445
GFPT2	0.350061908133707	0.108722901635574	0.22939240488464	0.0638806532884853	0.159617398716514	FALSE	sp|O94808|GFPT2_HUMAN	4	FALSE	5	179727690	179780387
SLAIN2	0.123487028388016	0.33519864517967	0.229342836783843	0.0550698908615631	0.148043218385687	FALSE	sp|Q9P270|SLAI2_HUMAN	4	FALSE	4	48343339	48428229
RPL5	0.0422640577702182	0.414853701832104	0.228558879801161	0.117579535001592	0.231596053791014	FALSE	A0A2R8Y6J3|A0A2R8Y6J3_HUMAN	5	FALSE	1	93297582	93307481
CCDC9B	0.0657687878410975	0.390208696959299	0.227988742400198	0.0964247327274919	0.207661698494448	FALSE	sp|Q6ZUT6|CCD9B_HUMAN	9	FALSE	15	40623653	40633168
MOB2	0.193666140173033	0.257977599094588	0.22582186963381	0.0309213020821614	0.104300049164252	FALSE	A0A087WVS8|A0A087WVS8_HUMAN	7	FALSE	11	1490687	1522477
RPS5	0.140933646069147	0.310291152077493	0.22561239907332	0.0468443313073823	0.136153239369018	FALSE	M0R0F0|M0R0F0_HUMAN	5	FALSE	19	58897767	58906173
ASCC3	0.145321708682417	0.305006089626538	0.225163899154478	0.0450005156086796	0.134613925442132	FALSE	sp|Q8N3C0|ASCC3_HUMAN	3	FALSE	6	100956070	101329248
CAV2	0.247813795459269	0.197031857911639	0.222422826685454	0.0314550497771256	0.104662101833679	FALSE	sp|P51636-2|CAV2_HUMAN	7	FALSE	7	115927434	116148595
SQOR	0.216047495306714	0.226543421400255	0.221295458353484	0.0303799225943596	0.104244554481743	FALSE	sp|Q9Y6N5|SQOR_HUMAN	10	FALSE	15	45923346	45983492
CAP1	0.0602146133549049	0.378271588805568	0.219243101080236	0.103216102504941	0.212644930000216	FALSE	sp|Q01518|CAP1_HUMAN	2	FALSE	1	40505905	40538321
ANXA1	0.303423907713984	0.133734331657106	0.218579119685545	0.051508296211706	0.142745859656472	FALSE	sp|P04083|ANXA1_HUMAN	2	FALSE	9	75766673	75785309
PKM	0.208871018401183	0.227067038455154	0.217969028428168	0.0320335359430479	0.105546576175649	FALSE	sp|P14618|KPYM_HUMAN	4	FALSE	15	72491370	72524164
EIF2S1	-0.0121187513068541	0.445391549438241	0.216636399065693	0.178555523635684	0.304694986633685	FALSE	H0YJS4|H0YJS4_HUMAN	4	FALSE	14	67826714	67853233
WDR26	0.311367836917476	0.115516781688545	0.21344230930301	0.0624566749424782	0.158750810563594	FALSE	sp|Q9H7D7-2|WDR26_HUMAN	7	FALSE	1	224572845	224624735
RPL26	0.130631264377907	0.295079910252984	0.212855587315445	0.0542881506962563	0.147813083869325	FALSE	sp|P61254|RL26_HUMAN	4	FALSE	17	8280838	8286531
PRDX6	0.152635856345231	0.270701915515787	0.211668885930509	0.0451850938547018	0.134613925442132	FALSE	sp|P30041|PRDX6_HUMAN	6	FALSE	1	173446405	173457946
ACAP2	0.245601878138324	0.177318252245019	0.211460065191671	0.0384078400746905	0.118928736969201	FALSE	sp|Q15057|ACAP2_HUMAN	23	FALSE	3	194995465	195163807
DHX29	0.30343386431316	0.117945502291747	0.210689683302454	0.0616572561710657	0.158010531047713	FALSE	sp|Q7Z478|DHX29_HUMAN	2	FALSE	5	54552073	54603550
SPATS2L	0.202510693497114	0.217282518174713	0.209896605835913	0.0359945544743981	0.11337491827839	FALSE	sp|Q9NUQ6|SPS2L_HUMAN	6	FALSE	2	201170604	201346986
TAB3	0.113753998567287	0.304099252092005	0.208926625329646	0.064580029091257	0.159617398716514	FALSE	sp|Q8N5C8-2|TAB3_HUMAN	7	FALSE	X	30845559	30993201
