TEST	TRAIT	NTOTAL	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P
Global	CAD	19254	ARHGEF26_EC-only	SET	193	0.1226	0.012214	0.073248	0.047093
Conditional	CAD	787	BCAS3_EC-only	SET	248	-0.047805	-0.022223	0.11688	0.65868
Global	CAD	19254	BCAS3_EC-only	SET	248	0.13939	0.015718	0.074924	0.031422
Conditional	CAD	569	EDN1_EC-only	SET	198	-0.009574	-0.0045644	0.12992	0.52936
Global	CAD	19254	EDN1_EC-only	SET	198	0.1116	0.011259	0.077903	0.076008
Conditional	CAD	743	FN1_EC-only	SET	141	-0.24801	-0.097315	0.1378	0.96385
Global	CAD	19254	FN1_EC-only	SET	141	-0.046156	-0.0039354	0.091934	0.69218
Conditional	CAD	1283	JCAD_EC-only	SET	33	0.071128	0.011264	0.25988	0.39218
Global	CAD	19254	JCAD_EC-only	SET	33	0.28409	0.011752	0.20741	0.0854
Conditional	CAD	1252	PHACTR1_EC-only	SET	18	0.34948	0.041618	0.32124	0.13843
Global	CAD	19254	PHACTR1_EC-only	SET	18	0.077489	0.0023682	0.3405	0.40999
Conditional	CAD	1058	PLPP3_EC-only	SET	413	-0.0093855	-0.0045807	0.091281	0.54094
Global	CAD	19254	PLPP3_EC-only	SET	413	0.056452	0.0081789	0.054893	0.15189
Conditional	CAD	2252	COMBINED_EC-only	SET	572	-0.078464	-0.034163	0.066672	0.88031
Global	CAD	19246	COMBINED_EC-only	SET	572	0.045314	0.0076953	0.046369	0.16423
Conditional	CAD	706	ARHGEF26_SMC-only	SET	122	-0.10656	-0.040316	0.15213	0.75806
Global	CAD	19254	ARHGEF26_SMC-only	SET	122	0.079524	0.0063103	0.1014	0.21646
Conditional	CAD	414	BCAS3_SMC-only	SET	35	0.13365	0.037227	0.24862	0.29558
Global	CAD	19254	BCAS3_SMC-only	SET	35	0.29897	0.012736	0.20221	0.069643
Conditional	CAD	777	EDN1_SMC-only	SET	193	-0.0056481	-0.002442	0.12074	0.51865
Global	CAD	19254	EDN1_SMC-only	SET	193	0.1357	0.013518	0.07925	0.043431
Conditional	CAD	1161	FN1_SMC-only	SET	302	-0.061008	-0.026776	0.096281	0.73678
Global	CAD	19254	FN1_SMC-only	SET	302	0.068425	0.0085023	0.062467	0.13669
Conditional	CAD	229	HDAC9_SMC-only	SET	19	0.17962	0.049653	0.30383	0.27749
Global	CAD	19254	HDAC9_SMC-only	SET	19	0.4139	0.012996	0.28141	0.070681
Conditional	CAD	261	JCAD_SMC-only	SET	93	0.32177	0.15439	0.2067	0.060403
Global	CAD	19254	JCAD_SMC-only	SET	93	0.40774	0.02827	0.11913	0.00031091
Conditional	CAD	1126	PHACTR1_SMC-only	SET	46	-0.0043745	-0.0008663	0.21444	0.50814
Global	CAD	19254	PHACTR1_SMC-only	SET	46	0.1728	0.0084365	0.15902	0.1386
Conditional	CAD	1513	PLPP3_SMC-only	SET	187	-0.077318	-0.025455	0.11062	0.75764
Global	CAD	19254	PLPP3_SMC-only	SET	187	-0.04156	-0.004076	0.078293	0.70223
Conditional	CAD	1967	COMBINED_SMC-only	SET	501	-0.044725	-0.019491	0.070485	0.73709
Global	CAD	19245	COMBINED_SMC-only	SET	501	0.067869	0.010807	0.04968	0.085964
Conditional	CAD	1646	ARHGEF26_EC-SMC-intersect	SET	8	-0.98401	-0.068455	0.54738	0.96379
Global	CAD	19254	ARHGEF26_EC-SMC-intersect	SET	8	-0.33915	-0.006912	0.4318	0.7839
Conditional	CAD	706	BCAS3_EC-SMC-intersect	SET	9	-0.16444	-0.018461	0.54039	0.61951
Global	CAD	19254	BCAS3_EC-SMC-intersect	SET	9	0.19005	0.004108	0.30151	0.26425
Conditional	CAD	588	EDN1_EC-SMC-intersect	SET	29	-0.39007	-0.084536	0.27683	0.92031
Global	CAD	19254	EDN1_EC-SMC-intersect	SET	29	-0.13189	-0.0051149	0.21083	0.7342
Conditional	CAD	997	FN1_EC-SMC-intersect	SET	75	-0.052574	-0.013874	0.1785	0.61579
Global	CAD	19254	FN1_EC-SMC-intersect	SET	75	0.050381	0.0031384	0.13208	0.35144
Conditional	CAD	1427	PHACTR1_EC-SMC-intersect	SET	3	-0.97682	-0.044757	0.78209	0.89406
Global	CAD	19254	PHACTR1_EC-SMC-intersect	SET	3	-0.55705	-0.0069529	0.62102	0.81513
Conditional	CAD	1313	PLPP3_EC-SMC-intersect	SET	119	0.13301	0.0382	0.13457	0.16157
Global	CAD	19254	PLPP3_EC-SMC-intersect	SET	119	0.2913	0.022831	0.10323	0.0023903
Conditional	CAD	2355	COMBINED_EC-SMC-intersect	SET	567	-0.0079053	-0.0033806	0.065019	0.54838
Global	CAD	19244	COMBINED_EC-SMC-intersect	SET	567	0.085913	0.014528	0.04618	0.031427
Conditional	Aorta-AA	1857	ARHGEF26_EC	SET	206	0.036095	0.011339	0.090059	0.34431
Global	Aorta-AA	20245	ARHGEF26_EC	SET	206	0.11208	0.011249	0.065174	0.042752
Conditional	Aorta-AA	826	BCAS3_EC	SET	265	-0.017665	-0.0082508	0.097993	0.57151
Global	Aorta-AA	20245	BCAS3_EC	SET	265	0.057801	0.0065698	0.058773	0.1627
Conditional	Aorta-AA	617	EDN1_EC	SET	231	-0.096326	-0.046656	0.10881	0.81181
Global	Aorta-AA	20245	EDN1_EC	SET	231	-0.0083697	-0.00088895	0.061581	0.55405
Conditional	Aorta-AA	458	FLT1_EC	SET	197	-0.016022	-0.0079413	0.13209	0.54825
Global	Aorta-AA	20245	FLT1_EC	SET	197	0.057482	0.0056428	0.066696	0.19439
Conditional	Aorta-AA	850	FN1_EC	SET	223	-0.093767	-0.041274	0.10079	0.82377
Global	Aorta-AA	20245	FN1_EC	SET	223	-0.04564	-0.0047637	0.064238	0.76129
Conditional	Aorta-AA	1327	JCAD_EC	SET	35	0.070222	0.011257	0.20375	0.36521
Global	Aorta-AA	20245	JCAD_EC	SET	35	-0.11136	-0.0046262	0.15225	0.76772
Conditional	Aorta-AA	1292	PHACTR1_EC	SET	21	-0.21335	-0.026989	0.26034	0.79368
Global	Aorta-AA	20245	PHACTR1_EC	SET	21	-0.48328	-0.015557	0.22015	0.98592
Conditional	Aorta-AA	1215	PLPP3_EC	SET	548	0.037367	0.018601	0.06971	0.29602
Global	Aorta-AA	20245	PLPP3_EC	SET	548	0.041742	0.0067742	0.040966	0.15412
Conditional	Aorta-AA	2917	COMBINED_EC	SET	1172	0.024941	0.01223	0.041666	0.27475
Global	Aorta-AA	20237	COMBINED_EC	SET	1172	0.022965	0.0053644	0.028218	0.20787
Conditional	Aorta-AA	505	ADAMTS7_SMC	SET	176	-0.024214	-0.011549	0.12102	0.57925
Global	Aorta-AA	20245	ADAMTS7_SMC	SET	176	-0.065425	-0.0060737	0.070112	0.82462
Conditional	Aorta-AA	737	ARHGEF26_SMC	SET	134	-0.19726	-0.076135	0.12345	0.94474
Global	Aorta-AA	20245	ARHGEF26_SMC	SET	134	0.078428	0.0063596	0.079118	0.16078
Conditional	Aorta-AA	437	BCAS3_SMC	SET	44	0.059904	0.018047	0.19598	0.38
Global	Aorta-AA	20245	BCAS3_SMC	SET	44	-0.00055009	-2.5618e-05	0.15736	0.50139
Conditional	Aorta-AA	838	EDN1_SMC	SET	226	-0.0080204	-0.0035616	0.10148	0.53149
Global	Aorta-AA	20245	EDN1_SMC	SET	226	0.077492	0.0081419	0.063917	0.11269
Conditional	Aorta-AA	1222	EDNRA_SMC	SET	206	2.6365e-05	9.8744e-06	0.091235	0.49988
Global	Aorta-AA	20245	EDNRA_SMC	SET	206	0.12429	0.012474	0.064349	0.026722
Conditional	Aorta-AA	1287	FN1_SMC	SET	392	0.060542	0.027874	0.070678	0.19592
Global	Aorta-AA	20245	FN1_SMC	SET	392	0.038956	0.0053682	0.049272	0.21459
Conditional	Aorta-AA	233	HDAC9_SMC	SET	19	0.18105	0.049655	0.31902	0.28546
Global	Aorta-AA	20245	HDAC9_SMC	SET	19	0.14586	0.0044665	0.22082	0.25446
Conditional	Aorta-AA	268	JCAD_SMC	SET	95	-0.13875	-0.066495	0.18186	0.7769
Global	Aorta-AA	20245	JCAD_SMC	SET	95	0.15041	0.010279	0.094678	0.056085
Conditional	Aorta-AA	1165	PHACTR1_SMC	SET	49	-0.060894	-0.012228	0.18526	0.62877
Global	Aorta-AA	20245	PHACTR1_SMC	SET	49	-0.04459	-0.0021911	0.13362	0.6307
Conditional	Aorta-AA	1689	PLPP3_SMC	SET	314	-0.051251	-0.019944	0.071469	0.76329
Global	Aorta-AA	20245	PLPP3_SMC	SET	314	0.073418	0.0090725	0.052928	0.082711
Conditional	Aorta-AA	2645	COMBINED_SMC	SET	1105	0.010241	0.0050518	0.044185	0.40836
Global	Aorta-AA	20236	COMBINED_SMC	SET	1105	0.069001	0.015678	0.029503	0.0096814
Conditional	Aorta-AA	2025	ARHGEF26_EC-SMC	SET	332	-0.032032	-0.011862	0.071081	0.67385
Global	Aorta-AA	20245	ARHGEF26_EC-SMC	SET	332	0.086016	0.010925	0.051065	0.046059
Conditional	Aorta-AA	1025	BCAS3_EC-SMC	SET	300	-0.026169	-0.011913	0.08525	0.62053
Global	Aorta-AA	20245	BCAS3_EC-SMC	SET	300	0.049324	0.0059598	0.055426	0.18676
Conditional	Aorta-AA	1016	EDN1_EC-SMC	SET	428	0.015472	0.0076433	0.077808	0.42121
Global	Aorta-AA	20245	EDN1_EC-SMC	SET	428	0.059464	0.0085543	0.046404	0.10003
Conditional	Aorta-AA	1503	FN1_EC-SMC	SET	537	-0.023892	-0.011453	0.063779	0.646
Global	Aorta-AA	20245	FN1_EC-SMC	SET	537	0.0050441	0.00081057	0.042006	0.45221
Conditional	Aorta-AA	243	HDAC9_EC-SMC	SET	20	0.070882	0.019521	0.3108	0.4099
Global	Aorta-AA	20245	HDAC9_EC-SMC	SET	20	0.12627	0.0039669	0.21868	0.28183
Conditional	Aorta-AA	1411	JCAD_EC-SMC	SET	130	-0.0050414	-0.0014586	0.10876	0.51848
Global	Aorta-AA	20245	JCAD_EC-SMC	SET	130	0.077377	0.0061807	0.080332	0.16773
Conditional	Aorta-AA	1540	PHACTR1_EC-SMC	SET	67	-0.12771	-0.026061	0.15189	0.79971
Global	Aorta-AA	20245	PHACTR1_EC-SMC	SET	67	-0.13676	-0.0078549	0.11729	0.87818
Conditional	Aorta-AA	1982	PLPP3_EC-SMC	SET	740	0.021571	0.010436	0.052248	0.33988
Global	Aorta-AA	20245	PLPP3_EC-SMC	SET	740	0.050669	0.0095088	0.035391	0.076124
Conditional	Aorta-AA	3565	COMBINED_EC-SMC	SET	1697	0.03922	0.01959	0.036552	0.14167
Global	Aorta-AA	20235	COMBINED_EC-SMC	SET	1697	0.043548	0.012071	0.024087	0.03532
Conditional	Aorta-AA	1849	ARHGEF26_EC-only	SET	198	0.017303	0.0053519	0.090784	0.42443
Global	Aorta-AA	20245	ARHGEF26_EC-only	SET	198	0.091296	0.0089847	0.067188	0.087113
Conditional	Aorta-AA	817	BCAS3_EC-only	SET	256	-0.019652	-0.009121	0.098912	0.57872
Global	Aorta-AA	20245	BCAS3_EC-only	SET	256	0.056405	0.0063026	0.059567	0.17185
Conditional	Aorta-AA	588	EDN1_EC-only	SET	202	-0.045239	-0.021502	0.11368	0.65459
Global	Aorta-AA	20245	EDN1_EC-only	SET	202	0.039049	0.0038811	0.066401	0.27825
Conditional	Aorta-AA	772	FN1_EC-only	SET	145	-0.13043	-0.050974	0.12191	0.85748
Global	Aorta-AA	20245	FN1_EC-only	SET	145	-0.073132	-0.0061671	0.078744	0.82348
Conditional	Aorta-AA	1327	JCAD_EC-only	SET	35	0.070117	0.01124	0.20408	0.36561
Global	Aorta-AA	20245	JCAD_EC-only	SET	35	-0.11141	-0.0046284	0.15214	0.768
Conditional	Aorta-AA	1289	PHACTR1_EC-only	SET	18	-0.15668	-0.018392	0.28255	0.71034
Global	Aorta-AA	20245	PHACTR1_EC-only	SET	18	-0.44135	-0.013155	0.24424	0.96461
Conditional	Aorta-AA	1093	PLPP3_EC-only	SET	426	0.016791	0.0081926	0.076076	0.41268
Global	Aorta-AA	20245	PLPP3_EC-only	SET	426	0.029941	0.0042974	0.045949	0.25733
Conditional	Aorta-AA	2337	COMBINED_EC-only	SET	592	-0.024558	-0.010683	0.053684	0.67631
Global	Aorta-AA	20237	COMBINED_EC-only	SET	592	-0.010144	-0.0017094	0.039171	0.60217
Conditional	Aorta-AA	729	ARHGEF26_SMC-only	SET	126	-0.2374	-0.089824	0.12455	0.97148
Global	Aorta-AA	20245	ARHGEF26_SMC-only	SET	126	0.045397	0.0035703	0.08298	0.29217
Conditional	Aorta-AA	428	BCAS3_SMC-only	SET	35	0.070339	0.019297	0.21324	0.37084
Global	Aorta-AA	20245	BCAS3_SMC-only	SET	35	-0.023809	-0.00098912	0.1731	0.5547
Conditional	Aorta-AA	809	EDN1_SMC-only	SET	197	0.053813	0.023111	0.10726	0.308
Global	Aorta-AA	20245	EDN1_SMC-only	SET	197	0.14533	0.014266	0.069176	0.017837
Conditional	Aorta-AA	1209	FN1_SMC-only	SET	314	0.075277	0.033021	0.078229	0.16806
Global	Aorta-AA	20245	FN1_SMC-only	SET	314	0.044853	0.0055426	0.054932	0.20711
Conditional	Aorta-AA	233	HDAC9_SMC-only	SET	19	0.18162	0.049812	0.31872	0.28467
Global	Aorta-AA	20245	HDAC9_SMC-only	SET	19	0.14489	0.0044369	0.22074	0.25579
Conditional	Aorta-AA	268	JCAD_SMC-only	SET	95	-0.13973	-0.066965	0.18213	0.77817
Global	Aorta-AA	20245	JCAD_SMC-only	SET	95	0.1506	0.010292	0.094731	0.055957
Conditional	Aorta-AA	1162	PHACTR1_SMC-only	SET	46	-0.061333	-0.011964	0.19051	0.62622
Global	Aorta-AA	20245	PHACTR1_SMC-only	SET	46	0.0011082	5.2767e-05	0.13832	0.4968
Conditional	Aorta-AA	1567	PLPP3_SMC-only	SET	192	-0.08327	-0.027312	0.088281	0.82714
Global	Aorta-AA	20245	PLPP3_SMC-only	SET	192	0.07455	0.0072257	0.06763	0.13517
Conditional	Aorta-AA	2065	COMBINED_SMC-only	SET	525	0.0035338	0.0015391	0.0587	0.476
Global	Aorta-AA	20236	COMBINED_SMC-only	SET	525	0.080625	0.012817	0.042727	0.029593
Conditional	Aorta-AA	1701	ARHGEF26_EC-SMC-intersect	SET	8	0.56845	0.038904	0.46865	0.11266
Global	Aorta-AA	20245	ARHGEF26_EC-SMC-intersect	SET	8	0.40453	0.0080402	0.26078	0.060432
Conditional	Aorta-AA	734	BCAS3_EC-SMC-intersect	SET	9	0.053775	0.005922	0.454	0.45287
Global	Aorta-AA	20245	BCAS3_EC-SMC-intersect	SET	9	0.11031	0.0023253	0.37875	0.38543
Conditional	Aorta-AA	617	EDN1_EC-SMC-intersect	SET	29	-0.27884	-0.059063	0.23096	0.8861
Global	Aorta-AA	20245	EDN1_EC-SMC-intersect	SET	29	-0.29659	-0.011218	0.16225	0.96622
Conditional	Aorta-AA	1044	FN1_EC-SMC-intersect	SET	78	-0.10284	-0.027053	0.14004	0.76856
Global	Aorta-AA	20245	FN1_EC-SMC-intersect	SET	78	0.011154	0.00069099	0.10997	0.45961
Conditional	Aorta-AA	1476	PHACTR1_EC-SMC-intersect	SET	3	-0.53712	-0.024199	0.6567	0.79322
Global	Aorta-AA	20245	PHACTR1_EC-SMC-intersect	SET	3	-0.67244	-0.0081852	0.51107	0.90586
Conditional	Aorta-AA	1364	PLPP3_EC-SMC-intersect	SET	122	0.07483	0.021363	0.11157	0.25126
Global	Aorta-AA	20245	PLPP3_EC-SMC-intersect	SET	122	0.075165	0.0058175	0.085227	0.18891
Conditional	Aorta-AA	2448	COMBINED_EC-SMC-intersect	SET	580	0.084935	0.036122	0.052869	0.054153
Global	Aorta-AA	20235	COMBINED_EC-SMC-intersect	SET	580	0.053871	0.008989	0.039141	0.084371
Conditional	Aorta-DA	1857	ARHGEF26_EC	SET	206	-0.17061	-0.053594	0.08243	0.98069
Global	Aorta-DA	20245	ARHGEF26_EC	SET	206	-0.0037732	-0.00037869	0.063087	0.52385
Conditional	Aorta-DA	826	BCAS3_EC	SET	265	-0.12234	-0.05714	0.091755	0.90859
Global	Aorta-DA	20245	BCAS3_EC	SET	265	0.029466	0.0033491	0.056281	0.3003
Conditional	Aorta-DA	617	EDN1_EC	SET	231	0.061631	0.029851	0.10375	0.27635
Global	Aorta-DA	20245	EDN1_EC	SET	231	0.082087	0.0087184	0.058496	0.080276
Conditional	Aorta-DA	458	FLT1_EC	SET	197	-0.12018	-0.059564	0.12625	0.82916
Global	Aorta-DA	20245	FLT1_EC	SET	197	0.11764	0.011548	0.064932	0.035028
Conditional	Aorta-DA	850	FN1_EC	SET	223	0.061109	0.026898	0.091723	0.25273
Global	Aorta-DA	20245	FN1_EC	SET	223	0.051608	0.0053866	0.059073	0.19117
Conditional	Aorta-DA	1327	JCAD_EC	SET	35	0.072923	0.01169	0.19623	0.35512
Global	Aorta-DA	20245	JCAD_EC	SET	35	-0.081174	-0.0033723	0.1436	0.71405
Conditional	Aorta-DA	1292	PHACTR1_EC	SET	21	0.019389	0.0024527	0.23028	0.46646
Global	Aorta-DA	20245	PHACTR1_EC	SET	21	-0.10208	-0.0032859	0.20681	0.6892
Conditional	Aorta-DA	1215	PLPP3_EC	SET	548	0.013644	0.0067918	0.067917	0.42041
Global	Aorta-DA	20245	PLPP3_EC	SET	548	0.071221	0.011558	0.03767	0.029345
Conditional	Aorta-DA	2917	COMBINED_EC	SET	1172	0.0065028	0.0031886	0.038924	0.43367
Global	Aorta-DA	20237	COMBINED_EC	SET	1172	0.062442	0.014586	0.026926	0.010205
Conditional	Aorta-DA	505	ADAMTS7_SMC	SET	176	-0.1137	-0.054231	0.12078	0.82651
Global	Aorta-DA	20245	ADAMTS7_SMC	SET	176	0.13576	0.012603	0.06681	0.021084
Conditional	Aorta-DA	737	ARHGEF26_SMC	SET	134	-0.072945	-0.028154	0.11329	0.74007
Global	Aorta-DA	20245	ARHGEF26_SMC	SET	134	0.092118	0.0074697	0.075275	0.11054
Conditional	Aorta-DA	437	BCAS3_SMC	SET	44	0.050578	0.015237	0.20817	0.40408
Global	Aorta-DA	20245	BCAS3_SMC	SET	44	0.061746	0.0028755	0.16619	0.35512
Conditional	Aorta-DA	838	EDN1_SMC	SET	226	0.025226	0.011202	0.099725	0.40018
Global	Aorta-DA	20245	EDN1_SMC	SET	226	0.12611	0.01325	0.058748	0.01592
Conditional	Aorta-DA	1222	EDNRA_SMC	SET	206	-0.028666	-0.010736	0.092346	0.62185
Global	Aorta-DA	20245	EDNRA_SMC	SET	206	0.12844	0.01289	0.060984	0.017609
Conditional	Aorta-DA	1287	FN1_SMC	SET	392	0.0028155	0.0012963	0.07194	0.48439
Global	Aorta-DA	20245	FN1_SMC	SET	392	0.094888	0.013076	0.044731	0.016956
Conditional	Aorta-DA	233	HDAC9_SMC	SET	19	-0.13089	-0.035897	0.31715	0.65989
Global	Aorta-DA	20245	HDAC9_SMC	SET	19	0.062693	0.0019197	0.18364	0.36641
Conditional	Aorta-DA	268	JCAD_SMC	SET	95	-0.051615	-0.024736	0.15913	0.62704
Global	Aorta-DA	20245	JCAD_SMC	SET	95	0.16049	0.010968	0.088199	0.034419
Conditional	Aorta-DA	1165	PHACTR1_SMC	SET	49	-0.066375	-0.013329	0.1751	0.64764
Global	Aorta-DA	20245	PHACTR1_SMC	SET	49	0.036185	0.0017781	0.14245	0.39975
Conditional	Aorta-DA	1689	PLPP3_SMC	SET	314	-0.071662	-0.027887	0.069466	0.84879
Global	Aorta-DA	20245	PLPP3_SMC	SET	314	0.079687	0.0098472	0.049531	0.053839
Conditional	Aorta-DA	2645	COMBINED_SMC	SET	1105	0.051943	0.025622	0.04262	0.11153
Global	Aorta-DA	20236	COMBINED_SMC	SET	1105	0.10529	0.023924	0.028054	8.7662e-05
Conditional	Aorta-DA	2025	ARHGEF26_EC-SMC	SET	332	-0.1033	-0.038254	0.063388	0.94833
Global	Aorta-DA	20245	ARHGEF26_EC-SMC	SET	332	0.035086	0.0044562	0.049274	0.23822
Conditional	Aorta-DA	1025	BCAS3_EC-SMC	SET	300	-0.14044	-0.063932	0.08354	0.95347
Global	Aorta-DA	20245	BCAS3_EC-SMC	SET	300	0.038694	0.0046754	0.05392	0.2365
Conditional	Aorta-DA	1016	EDN1_EC-SMC	SET	428	0.059502	0.029394	0.075055	0.21405
Global	Aorta-DA	20245	EDN1_EC-SMC	SET	428	0.10507	0.015115	0.04328	0.0076067
Conditional	Aorta-DA	1503	FN1_EC-SMC	SET	537	0.022274	0.010677	0.061127	0.35781
Global	Aorta-DA	20245	FN1_EC-SMC	SET	537	0.089838	0.014436	0.038807	0.010314
Conditional	Aorta-DA	243	HDAC9_EC-SMC	SET	20	-0.15406	-0.042429	0.30585	0.69254
Global	Aorta-DA	20245	HDAC9_EC-SMC	SET	20	0.069285	0.0021767	0.18235	0.35199
Conditional	Aorta-DA	1411	JCAD_EC-SMC	SET	130	0.039596	0.011456	0.10782	0.35675
Global	Aorta-DA	20245	JCAD_EC-SMC	SET	130	0.096676	0.0077223	0.075324	0.099675
Conditional	Aorta-DA	1540	PHACTR1_EC-SMC	SET	67	-0.041721	-0.0085136	0.14959	0.60982
Global	Aorta-DA	20245	PHACTR1_EC-SMC	SET	67	-0.031239	-0.0017942	0.12094	0.60191
Conditional	Aorta-DA	1982	PLPP3_EC-SMC	SET	740	-0.05059	-0.024476	0.05045	0.84195
Global	Aorta-DA	20245	PLPP3_EC-SMC	SET	740	0.083585	0.015686	0.032817	0.0054381
Conditional	Aorta-DA	3565	COMBINED_EC-SMC	SET	1697	0.047067	0.02351	0.034733	0.087738
Global	Aorta-DA	20235	COMBINED_EC-SMC	SET	1697	0.074066	0.02053	0.022976	0.00063452
Conditional	Aorta-DA	1849	ARHGEF26_EC-only	SET	198	-0.17434	-0.053924	0.083556	0.98146
Global	Aorta-DA	20245	ARHGEF26_EC-only	SET	198	-0.0095714	-0.00094194	0.065005	0.55853
